#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:29:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:31:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0095   6   52.9637   2028.9852   279.7600   65.1773   104.4632  1924.799307408237
FM   1.50   0.0095   7   25.3123   1857.0344   269.0524   59.8746   66.1558  1924.893460718955
FM   1.50   0.0095   14   52.7959   350.4251   166.0291   7.4390   24.6542  1925.4254676026671
#--- new collection started at 14:34:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0100   6   55.3292   2088.5303   275.6559   65.7147   106.9592  1967.4229341549005
FM   1.50   0.0100   7   25.7287   1910.8482   264.1172   60.0909   66.8694  1967.5177321491594
FM   1.50   0.0100   15   52.5229   232.8182   221.9195   20.0046   51.3946  1968.1185432326824
#--- new collection started at 14:37:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0125   6   39.6838   2132.1629   254.9723   63.1269   88.0450  2107.9368325475984
FM   1.50   0.0125   7   16.7449   1993.9273   244.6904   58.3398   49.1105  2108.029142948193
FM   1.50   0.0125   15   66.0838   351.9885   205.1800   17.9044   50.8264  2108.624061935988
#--- new collection started at 14:39:28---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0135   6   20.3507   2078.0902   240.5251   59.3985   56.6472  2167.1365915091155
#--- new collection started at 14:42:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0140   6   27.7836   2150.3732   240.9826   61.0673   70.1970  2197.5188814048915
FM   1.50   0.0140   7   16.8931   2020.8102   230.9024   56.3759   48.9240  2197.610038373574
FM   1.50   0.0140   15   37.0874   407.6803   239.7600   27.2722   56.9359  2198.199555468383
#--- new collection started at 14:45:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0200   6   22.9715   2404.1671   198.6741   59.2899   60.7462  2596.9374276926783
FM   1.50   0.0200   7   27.7285   2264.4101   185.7084   53.3164   65.9562  2597.025075473199
#--- new collection started at 14:47:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0216   5   31.1450   2473.0140   194.8062   60.3020   73.7616  2675.6812026653397
FM   1.50   0.0216   6   10.7773   2376.2724   185.6763   56.1073   34.3591  2675.76623932256
#--- new collection started at 14:50:21---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:52:37---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0300   6   30.9052   2503.7959   142.9611   50.8488   67.3202  3120.671222353864
#--- new collection started at 14:55:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0344   5   16.6888   2642.2939   134.3853   53.0185   46.1886  3304.735780745878
#--- new collection started at 14:58:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0400   5   23.2830   2722.6391   115.3652   51.4122   55.9943  3558.139011772229
#--- new collection started at 15:00:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0450   5   18.1176   2803.1275   107.9524   52.3531   47.6666  3708.5426065577944
#--- new collection started at 15:04:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0500   5   38.7795   2805.7883   91.6420   48.8618   69.5397  3863.1197369272113
#--- new collection started at 15:06:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0600   1   9.9377   3006.8412   84.4665   54.1458   30.4723  4193.838677663317
#--- new collection started at 15:09:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:12:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.50   0.0800   3   26.8380   3115.2386   51.6879   50.8736   52.2295  4551.093091976637
#--- new collection started at 15:14:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:16:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:19:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:21:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:25:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:27:10---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:07:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0080   8   53.0304   1615.8610   297.7634   60.2433   101.4361  1478.4104320464467
FM   1.60   0.0080   9   22.0066   1396.8748   286.2425   54.2088   58.7394  1478.4965055529233
FM   1.60   0.0080   10   19.2978   1162.6182   274.0687   47.7120   51.7549  1478.5776088239559
#--- new collection started at 14:08:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0010   12   9.3582   402.5157   423.3294   52.0203   30.5511  1056.5010380806189
#--- new collection started at 14:13:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0013   12   9.9805   240.5538   405.5318   50.9648   31.6356  1077.798669806591
FM   1.60   0.0013   13   39.7933   445.3677   395.8942   46.7392   77.9781  1077.8613721360737
#--- new collection started at 14:14:24---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0018   11   27.5095   259.5270   389.4134   54.6616   65.5023  1113.7533211580549
FM   1.60   0.0018   12   10.0171   47.5450   379.9672   50.1961   27.8909  1113.8247947004866
FM   1.60   0.0018   13   41.6734   175.4268   370.0613   45.4889   73.5535  1113.8913741238816
#--- new collection started at 14:15:46---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0020   10   27.3386   365.0250   380.1389   54.5244   66.3472  1128.7183564111012
FM   1.60   0.0020   11   10.3341   143.5240   370.7152   49.8577   31.6234  1128.7914024168824
FM   1.60   0.0020   12   41.4827   70.8503   360.9160   45.1954   63.3738  1128.8594687864604
#--- new collection started at 14:17:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0025   10   43.2210   638.8048   372.6224   57.1025   89.0900  1160.8910646596828
FM   1.60   0.0025   11   13.9263   403.0805   362.7080   52.0447   41.5546  1160.9681321416058
FM   1.60   0.0025   12   24.2236   187.7593   353.1200   47.2894   56.6683  1161.039942909748
#--- new collection started at 14:18:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0030   9   34.2795   711.7956   357.5235   55.6133   77.8889  1192.1598055150193
FM   1.60   0.0030   10   8.5932   478.7369   347.4112   50.4131   28.3337  1192.2368649051184
FM   1.60   0.0030   11   34.3717   269.6733   337.9305   45.6308   69.3528  1192.3087736469722
#--- new collection started at 14:21:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0036   9   26.7092   817.5701   340.6840   54.2938   66.6478  1232.239610018293
FM   1.60   0.0036   10   12.0217   585.9477   330.6247   48.9505   36.9199  1232.317279713091
FM   1.60   0.0036   11   46.2900   366.4139   320.5667   43.7410   79.5017  1232.3898193288758
#--- new collection started at 14:23:53---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0040   8   53.7123   1129.0829   341.4026   59.3036   101.7945  1260.5514560555603
FM   1.60   0.0040   9   23.1592   891.6323   330.8455   53.7126   60.6602  1260.635115703365
FM   1.60   0.0040   10   15.9368   656.0344   320.3665   48.1209   45.3646  1260.713311192558
#--- new collection started at 14:25:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0050   8   39.8698   1150.5699   325.3685   56.9195   85.8501  1310.5660774519927
FM   1.60   0.0050   9   10.8083   926.2580   315.0832   51.4283   34.4177  1310.6476115752425
FM   1.60   0.0050   10   32.1328   687.4120   304.0592   45.5151   69.1621  1310.7239728689774
#--- new collection started at 14:27:27---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0060   8   55.9728   1399.3246   320.2493   60.2252   104.4186  1363.5716072128541
FM   1.60   0.0060   9   26.0481   1175.5077   309.5146   54.5446   65.7833  1363.6565640262647
FM   1.60   0.0060   10   13.5100   944.0566   298.4437   48.6249   40.4061  1363.736305567491
#--- new collection started at 14:29:14---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:31:52---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0095   7   59.6309   1836.3343   284.8482   62.2038   108.3975  1571.7781309236263
FM   1.60   0.0095   8   30.0666   1636.1538   273.2980   56.3079   72.3469  1571.8671430170957
FM   1.60   0.0095   9   11.1497   1420.7824   261.0322   49.9200   35.0094  1571.9514312612034
#--- new collection started at 14:34:33---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0100   7   43.0755   1779.0987   273.5570   59.1251   90.1999  1604.3171877273599
FM   1.60   0.0100   8   12.3796   1567.9511   261.0854   52.7397   38.3852  1604.40428554408
#--- new collection started at 14:37:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0125   6   66.7227   2077.5155   268.7702   64.3305   115.1605  1714.2229067652172
FM   1.60   0.0125   7   44.1238   1936.2231   259.4396   59.7824   91.4039  1714.3138410866063
FM   1.60   0.0125   8   12.8147   1727.9193   245.9057   53.0329   39.3944  1714.4005490952059
#--- new collection started at 14:39:32---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0135   7   54.6864   2057.6153   257.9586   62.0551   103.1902  1761.1205171752813
FM   1.60   0.0135   8   24.8956   1878.1253   245.8148   56.1054   63.9060  1761.209054798515
#--- new collection started at 14:42:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0140   6   55.2454   2091.1705   255.3989   62.3218   103.7870  1784.6642989480642
FM   1.60   0.0140   7   33.2782   1962.3215   246.5069   57.9997   77.1345  1784.7541252599847
#--- new collection started at 14:45:02---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0200   6   32.3833   2275.9044   208.8512   58.0715   75.0078  2095.6247600116867
FM   1.60   0.0200   7   16.8989   2163.5867   199.0784   53.5227   47.9937  2095.711204957862
#--- new collection started at 14:47:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0216   6   27.1540   2290.5996   200.0661   56.7603   66.8005  2156.553425286663
FM   1.60   0.0216   7   16.9273   2198.0736   191.6276   52.8743   47.8113  2156.6387382270136
#--- new collection started at 14:50:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0247   6   13.5061   2291.9833   180.1591   52.8927   40.4310  2279.5832277543245
#--- new collection started at 14:52:38---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0300   6   10.5260   2430.8982   159.2645   52.2469   33.1035  2506.459454632143
#--- new collection started at 14:55:10---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0344   6   17.2834   2474.1968   140.7309   49.5488   46.7558  2652.140790476436
#--- new collection started at 14:58:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0400   7   47.5835   2485.8945   114.4698   44.0899   75.7076  2849.03814482924
#--- new collection started at 15:00:49---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0450   6   8.7328   2691.6211   118.9501   51.2290   28.0093  2967.4171804152734
#--- new collection started at 15:04:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0500   6   41.2056   2638.4339   97.1657   44.7412   69.8202  3090.7633171443263
#--- new collection started at 15:06:58---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0600   5   11.8414   2894.9025   94.2326   52.4019   34.9374  3347.8850539575546
#--- new collection started at 15:09:27---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:12:00---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:14:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.60   0.0900   3   28.9176   3045.9467   44.2607   46.4595   50.6157  3481.5796075054955
#--- new collection started at 15:16:54---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:19:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:21:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:07---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:25:05---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:27:19---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:07:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0080   9   45.8354   1306.3398   297.7329   54.6811   90.4379  1231.6827121850863
FM   1.70   0.0080   10   15.7771   1082.5221   286.9192   48.7819   45.3045  1231.7622059677992
FM   1.70   0.0080   11   22.0489   860.5033   276.1653   42.8661   54.4475  1231.8369353916019
#--- new collection started at 14:08:54---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:13:16---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:14:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0018   14   32.8595   456.3247   375.2977   42.8318   68.2179  941.9558563838991
#--- new collection started at 14:15:48---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0020   12   20.4128   11.9716   380.8830   49.6806   25.7609  953.8711728705237
#--- new collection started at 14:17:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0025   12   18.5432   137.1935   367.5601   49.2084   47.4724  979.2834570922678
FM   1.70   0.0025   13   16.2459   77.3383   358.8287   44.7180   40.1472  979.3496096172858
FM   1.70   0.0025   14   46.9726   281.5629   349.8390   40.2524   76.1291  979.4114171938063
#--- new collection started at 14:18:55---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0030   11   21.3667   309.8955   356.3636   49.5987   54.7970  1004.7972277480267
FM   1.70   0.0030   12   12.5777   108.2104   347.8408   45.1931   35.1651  1004.8656134907246
FM   1.70   0.0030   13   41.9325   99.3311   338.9591   40.6181   65.0565  1004.9295295616893
#--- new collection started at 14:21:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0036   10   34.9853   591.9996   346.5202   51.9196   76.3082  1036.9387277043577
FM   1.70   0.0036   11   9.8520   369.4578   337.3612   46.9754   31.1378  1037.0115186611058
FM   1.70   0.0036   12   29.4282   152.4659   328.2036   42.0707   59.3857  1037.0795214341467
#--- new collection started at 14:23:54---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0040   9   35.9599   708.1939   338.3006   52.1995   77.9210  1058.7497948983362
FM   1.70   0.0040   10   10.0862   480.0770   328.7588   47.0067   31.8615  1058.8241566332397
FM   1.70   0.0040   11   27.4969   272.1249   320.0197   42.2275   59.8368  1058.893644179264
#--- new collection started at 14:26:01---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0050   10   31.1382   807.3469   325.2526   51.3838   71.5698  1098.8252648693287
FM   1.70   0.0050   11   8.5486   582.9463   315.7136   46.1089   27.8652  1098.899375086249
FM   1.70   0.0050   12   34.0312   373.7751   306.5120   41.0910   67.0478  1098.9687580849422
#--- new collection started at 14:27:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0060   9   50.6058   1093.0052   321.1422   55.2350   95.4794  1141.342622080685
FM   1.70   0.0060   10   23.2951   879.6488   311.6763   50.0466   59.4759  1141.4213072136185
FM   1.70   0.0060   11   12.4395   662.9840   301.9623   44.7182   37.1847  1141.495063702829
#--- new collection started at 14:29:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0070   6   56.9805   3047.5203   62.3106   50.7180   74.5664  5353.888611995168
#--- new collection started at 14:31:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0095   7   63.6354   1623.3332   288.6700   58.8040   108.6947  1305.4215077554404
FM   1.70   0.0095   8   34.2147   1405.8651   277.2700   52.7187   76.1706  1305.505823590441
FM   1.70   0.0095   9   8.0695   1179.4557   265.5407   46.3425   26.6461  1305.5853296635637
FM   1.70   0.0095   18   76.8501   598.1158   255.4466   14.9953   46.9008  1306.124895395078
#--- new collection started at 14:34:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:37:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0125   7   64.4971   1843.0273   270.6204   59.8709   109.7546  1418.5172557774254
FM   1.70   0.0125   8   35.0878   1641.4362   258.7910   53.7388   77.5467  1418.6019568327033
FM   1.70   0.0125   9   8.6749   1434.1608   246.4350   47.3148   28.3356  1418.682305042654
#--- new collection started at 14:39:34---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0135   7   47.7218   1790.8210   258.0040   56.5615   92.8743  1455.5684868957212
FM   1.70   0.0135   8   18.7903   1595.4830   246.1531   50.4214   51.4528  1455.6514460263352
#--- new collection started at 14:42:08---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0140   7   68.4300   1964.2931   263.9025   61.1473   113.4243  1474.4185538337617
FM   1.70   0.0140   8   40.9217   1780.6793   252.4224   55.3281   85.0447  1474.504986502847
FM   1.70   0.0140   9   14.4082   1598.7345   241.0190   49.4828   42.3780  1474.5872961856473
#--- new collection started at 14:45:11---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0200   6   56.3154   2218.6268   223.5908   59.4633   101.2725  1721.1679448901298
FM   1.70   0.0200   7   38.2544   2126.5002   216.2450   55.9776   81.4669  1721.2541657317763
FM   1.70   0.0200   8   15.4707   1962.2272   203.5259   49.7452   44.3636  1721.3373180386182
#--- new collection started at 14:47:21---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0216   7   35.1720   2158.9589   209.1370   55.3694   77.3142  1769.8446574831019
FM   1.70   0.0216   8   17.0042   2035.4997   199.1727   50.5432   47.5590  1769.9275843206683
#--- new collection started at 14:50:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0247   6   41.6203   2273.8205   199.5127   56.2474   84.6429  1866.9862234297864
FM   1.70   0.0247   7   26.8978   2212.2494   194.0551   53.6967   65.1401  1867.068675772897
#--- new collection started at 14:52:44---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0300   6   17.2822   2308.2290   169.2771   51.0931   47.7464  2046.282626909187
FM   1.70   0.0300   7   18.3824   2239.7675   162.8872   48.0062   48.8900  2046.3607510567208
#--- new collection started at 14:55:14---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0344   7   14.7314   2390.5830   154.5405   50.1875   42.2401  2160.8705749794303
#--- new collection started at 14:58:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0400   7   12.5650   2447.2559   132.6439   47.0445   36.7680  2315.368135114982
#--- new collection started at 15:00:57---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0450   7   33.1681   2435.8384   115.2633   42.8152   63.9059  2410.1790901768427
#--- new collection started at 15:04:20---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0500   6   17.6046   2559.5877   111.0474   45.4956   45.3620  2507.9398814691995
#--- new collection started at 15:06:59---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.0600   6   13.0870   2756.3040   100.2061   49.1624   37.3502  2711.5636760650764
#--- new collection started at 15:09:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:12:09---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:14:31---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:17:03---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:19:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.70   0.1100   5   9.7864   2790.2791   59.0555   40.6835   27.7674  1758.0260675708355
#--- new collection started at 15:21:18---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:23:12---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:25:06---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 15:27:22---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:07:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0080   10   39.7622   996.7489   298.5383   49.5230   80.4909  1046.4030247656892
FM   1.80   0.0080   11   12.6094   779.7814   288.8102   44.0352   37.4672  1046.4765033638132
FM   1.80   0.0080   12   22.2064   574.0261   279.5930   38.7866   52.5396  1046.5454717480734
#--- new collection started at 14:08:55---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:10:15---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:12:04---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:13:17---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
#--- new collection started at 14:14:29---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0018   16   54.3819   935.1666   372.6245   36.3679   80.5831  811.8207194431094
#--- new collection started at 14:15:51---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0020   13   29.4523   237.7658   387.2587   47.7990   64.8696  820.2481063221703
FM   1.80   0.0020   15   25.8537   633.2020   371.4479   39.8708   58.7961  820.364544501249
#--- new collection started at 14:17:25---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0025   12   34.9805   28.3959   376.3766   48.5957   45.9566  841.8050273093245
FM   1.80   0.0025   14   21.2446   438.0605   360.2681   40.2089   51.9484  841.9268250734431
FM   1.80   0.0025   15   47.5788   613.9287   352.6985   36.4457   75.5858  841.9819772287876
#--- new collection started at 14:18:56---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0030   11   40.7478   178.9940   366.0954   49.5199   75.3958  863.0336904524285
#--- new collection started at 14:21:13---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   1.80   0.0036   12   28.6231   249.5602   347.7380   47.1709   63.4728  888.7278284116744
FM   1.80   0.0036   13   9.3802   47.3842   339.7548   42.7967   25.9704  888.7936058093512
