#--- new collection started at 14:32:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0135   21   18.2658   1347.2765   274.3868   9.0713   23.6168  440.8715130481429
FM   2.90   0.0135   22   32.1967   1504.4085   269.7830   5.7604   19.1361  440.9067885229278
FM   2.90   0.0135   23   45.8184   1646.2617   265.6452   2.7729   10.3405  440.9403811034612
FM   2.90   0.0135   24   60.5586   1792.8798   261.2155   0.5690   2.2492  440.9724036313711
#--- new collection started at 15:07:30---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0140   19   28.8987   822.5995   285.3647   18.9998   43.4992  443.0068314770599
FM   2.90   0.0140   23   33.5378   1470.0609   266.7494   5.4380   18.3371  443.1595815057269
FM   2.90   0.0140   24   47.2618   1609.4451   262.4418   2.4217   9.1214  443.19321056984853
#--- new collection started at 15:10:23---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0200   17   45.7053   143.5816   259.9240   23.0174   52.5371  471.7590888674296
FM   2.90   0.0200   18   29.4884   316.5057   254.1178   18.9505   42.6551  471.80345780071946
FM   2.90   0.0200   19   15.2119   477.1289   248.6777   15.1443   29.0094  471.8455384894394
FM   2.90   0.0200   20   10.0158   638.4171   243.1369   11.2817   20.6015  471.8854963740992
FM   2.90   0.0200   21   24.3186   809.1096   237.4690   7.2216   21.6167  471.9234943049134
FM   2.90   0.0200   22   39.4264   951.1382   232.4243   3.7411   13.4219  471.9596696280356
#--- new collection started at 15:12:55---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0216   17   47.3552   61.6266   256.0491   23.3981   47.6260  471.60569933014307
FM   2.90   0.0216   18   30.8364   232.2027   250.0695   19.2786   43.1940  471.649314985975
FM   2.90   0.0216   19   15.3841   398.6332   244.2465   15.2479   29.1571  471.6907332840854
FM   2.90   0.0216   20   9.5699   551.3351   238.8347   11.5106   20.2664  471.7301093848437
FM   2.90   0.0216   21   23.6258   721.4934   232.9243   7.3519   21.7361  471.76757954736075
FM   2.90   0.0216   22   38.4155   858.7002   227.9710   3.9317   13.9897  471.8032770353461
#--- new collection started at 15:15:35---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0247   16   45.7727   56.8767   246.1600   22.9259   45.9189  475.81772148592836
FM   2.90   0.0247   17   29.3920   106.4116   240.1435   18.8584   39.7569  475.8598689646381
FM   2.90   0.0247   18   14.2159   266.3158   234.2506   14.8200   27.4266  475.8999813627458
FM   2.90   0.0247   19   10.8793   423.3941   228.4458   10.8261   20.9395  475.93816399611194
FM   2.90   0.0247   20   24.6573   571.5989   222.9160   7.0198   21.1366  475.97456465209285
FM   2.90   0.0247   21   41.6303   719.8358   217.1400   3.1260   11.4315  476.0092841392523
#--- new collection started at 15:18:14---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0300   14   60.9200   426.7834   236.5653   26.8553   66.4211  478.89484545406447
FM   2.90   0.0300   15   43.7520   262.4808   229.6211   22.3938   52.8568  478.9363425870627
FM   2.90   0.0300   16   26.4323   101.4631   223.1299   18.0583   37.1933  478.9759497969155
FM   2.90   0.0300   17   11.9937   50.7880   216.9657   13.9554   22.3049  479.0137801972493
FM   2.90   0.0300   18   13.6529   204.5580   210.8429   9.7619   21.5848  479.0498997552802
FM   2.90   0.0300   19   29.5546   348.4248   204.8520   5.7502   18.5621  479.0844441442042
#--- new collection started at 15:20:36---
#Period    mass   z  abs_pulse_number  period_WRMSE  Lw   Tw   Rw   global_WRMSE   median_age
FM   2.90   0.0344   13   57.6296   533.7987   225.4772   26.1175   64.5691  468.9049198119078
FM   2.90   0.0344   14   41.5239   382.4048   218.7644   21.8301   51.8962  468.9432740305402
FM   2.90   0.0344   15   24.2690   225.2863   212.0462   17.4034   37.0990  468.9800321016496
FM   2.90   0.0344   16   10.1921   79.9809   205.7976   13.2581   20.9530  469.0152552004965
FM   2.90   0.0344   17   15.8026   67.2250   199.6770   9.1168   20.7414  469.0490039759194
#--- new collection started at 15:22:53---
