FM   1.10   0.0020   1   19.0466   67.7220
FM   1.10   0.0020   2   51.2049   156.6380
FM   1.10   0.0020   3   34.7063   113.3987
FM   1.10   0.0020   5   19.0466   67.7220
FM   1.10   0.0020   6   51.2049   156.6380
FM   1.10   0.0020   7   34.7063   113.3987
FM   1.10   0.0020   9   19.0466   67.7220
FM   1.10   0.0020   13   19.0466   67.7220
FM   1.10   0.0020   19   34.7063   113.3987
#--- new collection started at 13:40:29---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0025   9   18.2215   65.0199
FM   1.10   0.0025   8   113.4632   255.2962
FM   1.10   0.0025   6   76.9817   212.0786
FM   1.10   0.0025   7   11.6805   43.4944
FM   1.10   0.0025   5   18.2215   65.0199
FM   1.10   0.0025   1   18.2215   65.0199
FM   1.10   0.0025   2   76.9817   212.0786
FM   1.10   0.0025   3   11.6805   43.4944
FM   1.10   0.0025   4   113.4632   255.2962
FM   1.10   0.0025   10   76.9817   212.0786
FM   1.10   0.0025   11   11.6805   43.4944
FM   1.10   0.0025   12   113.4632   255.2962
FM   1.10   0.0025   13   18.2215   65.0199
FM   1.10   0.0025   14   76.9817   212.0786
FM   1.10   0.0025   15   11.6805   43.4944
FM   1.10   0.0025   16   113.4632   255.2962
#--- new collection started at 19:21:28---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0030   16   13.6359   50.0322
FM   1.10   0.0030   18   32.0334   106.0382
FM   1.10   0.0030   19   13.6359   50.0322
FM   1.10   0.0030   11   49.0569   151.1653
FM   1.10   0.0030   1   13.6359   50.0322
FM   1.10   0.0030   2   49.0569   151.1653
FM   1.10   0.0030   3   32.0334   106.0382
FM   1.10   0.0030   4   13.6359   50.0322
FM   1.10   0.0030   5   49.0569   151.1653
FM   1.10   0.0030   6   32.0334   106.0382
FM   1.10   0.0030   7   13.6359   50.0322
FM   1.10   0.0030   8   49.0569   151.1653
FM   1.10   0.0030   9   32.0334   106.0382
FM   1.10   0.0030   10   13.6359   50.0322
FM   1.10   0.0030   12   32.0334   106.0382
FM   1.10   0.0030   13   13.6359   50.0322
FM   1.10   0.0030   14   49.0569   151.1653
FM   1.10   0.0030   15   32.0334   106.0382
FM   1.10   0.0030   17   49.0569   151.1653
FM   1.10   0.0030   20   49.0569   151.1653
FM   1.10   0.0030   21   32.0334   106.0382
#--- new collection started at 13:42:44---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0036   13   22.1508   77.0814
FM   1.10   0.0036   9   22.1508   77.0814
FM   1.10   0.0036   5   22.1508   77.0814
FM   1.10   0.0036   1   22.1508   77.0814
#--- new collection started at 19:29:38---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0040   13   33.0668   107.8266
FM   1.10   0.0040   10   33.0668   107.8266
FM   1.10   0.0040   7   33.0668   107.8266
FM   1.10   0.0040   1   33.0668   107.8266
FM   1.10   0.0040   4   33.0668   107.8266
FM   1.10   0.0040   16   33.0668   107.8266
#--- new collection started at 19:34:25---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0050   1   39.0819   123.0918
FM   1.10   0.0050   3   39.0819   123.0918
FM   1.10   0.0050   6   39.0819   123.0918
FM   1.10   0.0050   9   39.0819   123.0918
FM   1.10   0.0050   12   39.0819   123.0918
FM   1.10   0.0050   15   39.0819   123.0918
FM   1.10   0.0050   18   39.0819   123.0918
#--- new collection started at 19:40:10---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0060   9   8.5855   32.4893
FM   1.10   0.0060   11   8.5855   32.4893
FM   1.10   0.0060   7   8.5855   32.4893
FM   1.10   0.0060   1   8.5855   32.4893
FM   1.10   0.0060   3   8.5855   32.4893
FM   1.10   0.0060   5   8.5855   32.4893
#--- new collection started at 19:43:38---
#Period    mass   z  pulse_number  period_WRMSE    global_WRMSE 
FM   1.10   0.0070   15   43.9889   135.6755
FM   1.10   0.0070   16   45.8403   142.0081
FM   1.10   0.0070   17   9.3819   35.3450
FM   1.10   0.0070   18   43.9889   135.6755
FM   1.10   0.0070   14   9.3819   35.3450
FM   1.10   0.0070   13   45.8403   142.0081
FM   1.10   0.0070   10   45.8403   142.0081
FM   1.10   0.0070   11   9.3819   35.3450
FM   1.10   0.0070   1   45.8403   142.0081
FM   1.10   0.0070   2   9.3819   35.3450
FM   1.10   0.0070   3   43.9889   135.6755
FM   1.10   0.0070   4   45.8403   142.0081
FM   1.10   0.0070   5   9.3819   35.3450
FM   1.10   0.0070   6   43.9889   135.6755
FM   1.10   0.0070   8   9.3819   35.3450
FM   1.10   0.0070   9   43.9889   135.6755
FM   1.10   0.0070   7   45.8403   142.0081
FM   1.10   0.0070   12   43.9889   135.6755
