#mass   Z   median_TP_age (Myr)
4.90  0.0600  128.4086
4.90  0.0700  130.5828
4.90  0.0800  131.7692
4.90  0.1000  120.7719
4.90  0.1100  111.7815
4.90  0.1200  103.3370
4.90  0.1300  95.3936
#mass   Z   median_TP_age (Myr)
5.00  0.0400  112.6083
5.00  0.0500  117.2472
5.00  0.0700  123.2685
5.00  0.1100  105.6441
5.00  0.1200  97.6621
5.00  0.1000  114.0346
5.00  0.0344  108.6054
5.00  0.0140  89.5455
5.00  0.0135  88.9459
5.00  0.0080  82.5172
5.00  0.0013  70.6932
5.00  0.0300  105.5124
5.00  0.0095  84.5709
5.00  0.0070  81.1619
5.00  0.0800  124.6591
5.00  0.0900  118.9685
5.00  0.1300  90.1808
5.00  0.1500  76.7088
