#mass   Z   median_TP_age (Myr)
1.70  0.0300  2045.8705
1.70  0.0080  1230.8456
1.70  0.1300  2085.9394
1.70  0.1400  1900.5314
1.70  0.1500  1731.0415
1.70  0.1100  1757.9171
1.70  0.1200  3484.3795
1.70  0.0001  4885.3829
1.70  0.0030  1003.7199
1.70  0.0050  1097.8741
1.70  0.0060  1140.4847
1.70  0.0013  911.1465
1.70  0.0010  893.8685
1.70  0.0900  5583.8473
1.70  0.0020  952.6917
1.70  0.0125  1417.8505
1.70  0.0135  1454.8772
1.70  0.0216  1769.3049
1.70  0.0247  1866.5464
1.70  0.0025  978.2068
1.70  0.0018  940.6511
1.70  0.0036  1035.8732
1.70  0.0070  5353.6920
1.80  0.0095  1104.0843
1.80  0.0100  1123.8692
1.80  0.0200  1436.5574
1.80  0.0300  1699.0491
1.80  0.0400  1917.7342
1.80  0.0500  2075.2023
1.80  0.0600  2239.9994
1.80  0.1400  1594.3467
1.80  0.1500  1459.8525
1.80  0.0700  2338.3139
1.80  0.0900  2337.9842
1.80  0.1000  2265.1159
1.80  0.1300  1745.2737
1.80  0.0005  739.0682
1.80  0.0040  906.2110
1.80  0.0050  938.5700
1.80  0.0060  972.9878
1.80  0.0135  1224.8571
1.80  0.0070  1008.5897
1.80  0.0010  769.7942
1.80  0.1100  2080.1074
1.80  0.1200  1905.2145
1.80  0.0125  1194.8515
1.80  0.0020  818.9791
1.80  0.0216  1475.5548
1.80  0.0013  785.4079
1.80  0.0018  810.2928
1.90  0.0095  956.3785
1.90  0.0140  1066.1671
1.90  0.0300  1438.3260
1.90  0.0400  1614.7846
1.90  0.0500  1744.9103
1.90  0.0800  2034.5940
1.90  0.1000  1910.6081
1.90  0.0600  1880.5639
1.90  0.0900  1969.4872
1.90  0.1300  1487.3145
1.90  0.1400  1367.5544
1.90  0.1500  1254.0355
1.90  0.0005  646.4804
1.90  0.0060  851.5989
1.90  0.0030  760.2054
1.90  0.1200  1616.9120
1.90  0.0020  723.3873
1.90  0.0125  1031.9849
1.90  0.0247  1321.2025
1.90  0.0013  692.1934
1.90  0.0018  715.4273
1.90  0.0036  782.1245
1.91  0.0300  1414.4649
#mass   Z   median_TP_age (Myr)
2.00  0.0140  252.4363
2.00  0.0500  1497.3480
2.00  0.0800  1736.7873
2.00  0.0100  860.3543
2.00  0.0200  1068.3362
2.00  0.0300  1239.8519
2.00  0.0400  1388.3184
2.00  0.0095  848.8890
2.00  0.1000  1641.0698
2.00  0.0600  1608.8801
2.00  0.0700  1677.3903
2.00  0.0900  1685.9724
2.00  0.1300  1295.7689
2.00  0.1400  1197.9903
2.00  0.0050  743.7988
2.00  0.0060  765.8794
2.00  0.0001  554.5498
2.00  0.0005  581.5732
2.00  0.0010  622.1025
2.00  0.1100  1515.0645
2.00  0.1200  1405.6163
2.00  0.0020  683.5627
2.00  0.0125  909.1843
2.00  0.0135  928.9125
2.00  0.0216  1092.6884
2.00  0.0013  640.6827
2.00  0.0025  701.6543
2.00  0.0036  717.3092
2.00  0.0344  1306.4483
2.10  0.0200  948.9701
2.10  0.0300  1094.3794
2.10  0.0400  1214.7737
2.10  0.0500  1305.8910
2.10  0.0800  1511.3433
2.10  0.1000  1434.6043
2.10  0.1500  997.2641
2.10  0.0080  753.1262
2.10  0.0600  1400.0266
2.10  0.0700  1458.7530
2.10  0.1200  3484.3795
2.10  0.1300  1160.8595
2.10  0.1400  1083.5523
2.10  0.0030  655.9465
2.10  0.0050  716.8393
2.10  0.0060  740.9168
2.10  0.1100  402.8154
2.10  0.0001  488.7152
2.10  0.0010  563.4039
2.10  0.0020  617.2486
2.10  0.0135  836.6877
2.10  0.0216  971.7498
2.10  0.0247  1013.8516
2.10  0.0025  637.9328
2.20  0.1500  873.9765
2.20  0.0500  1162.9220
2.20  0.0800  1338.6130
2.20  0.0200  861.5319
2.20  0.0900  1685.9724
2.20  0.0080  715.4462
2.20  0.1100  1337.1145
2.20  0.1300  1051.4176
2.20  0.0095  751.7564
2.20  0.0600  1235.4024
2.20  0.0700  1293.2618
2.20  0.0135  815.5500
2.20  0.0040  618.6861
2.20  0.0030  582.9655
2.20  0.0005  468.2511
2.20  0.0010  498.1003
2.20  0.0001  432.0077
2.20  0.0020  543.6593
2.20  0.0216  879.7027
2.20  0.0025  563.0636
2.20  0.0036  604.6204
2.20  0.0344  1026.3971
2.20  0.0247  917.1938
2.30  0.0200  847.0536
2.30  0.0300  905.8836
2.30  0.0500  1055.6873
2.30  0.0800  1213.5419
2.30  0.1500  767.7027
2.30  0.0700  1169.9800
2.30  0.1100  1103.2169
2.30  0.1300  928.3495
2.30  0.1400  842.9466
2.30  0.0080  638.7481
2.30  0.0100  685.2347
2.30  0.0030  513.9795
2.30  0.0040  548.1762
2.30  0.0050  570.6833
2.30  0.0010  498.1003
2.30  0.0001  385.1266
2.30  0.0005  415.2945
2.30  0.0020  427.7872
2.30  0.0216  867.0849
2.30  0.0247  901.7690
2.30  0.0013  453.8515
2.30  0.0018  472.5395
2.30  0.0025  496.3594
2.30  0.0036  534.5198
2.30  0.0344  943.9834
2.40  0.0200  760.2626
2.40  0.0500  1020.2096
2.40  0.1000  1061.2967
2.40  0.1500  676.9153
2.40  0.1200  3484.3795
2.40  0.0080  570.1858
2.40  0.0095  601.4797
2.40  0.0100  612.3409
2.40  0.1300  816.2649
2.40  0.0600  1082.1331
2.40  0.0700  1117.3195
2.40  0.0036  473.3193
2.40  0.0030  455.1685
2.40  0.0040  485.4298
2.40  0.0060  593.9855
2.40  0.0070  489.1968
2.40  0.0001  345.9040
2.40  0.0010  498.1003
2.40  0.0900  1100.6870
2.40  0.0005  371.8841
2.40  0.0125  647.2905
2.40  0.0135  660.8428
2.40  0.0247  811.6324
2.40  0.0018  421.4251
2.40  0.0025  440.7625
2.40  0.0344  909.5894
2.50  0.0140  598.5697
2.50  0.0300  780.5553
2.50  0.0400  858.6012
2.50  0.0500  912.3143
2.50  0.0800  1145.2560
2.50  0.1000  943.8673
2.50  0.1500  597.6068
2.50  0.0700  995.7975
2.50  0.1100  867.7652
2.50  0.1300  721.8695
2.50  0.0095  3477.6944
2.50  0.1400  657.8296
2.50  0.0036  421.1068
2.50  0.0050  451.1076
2.50  0.0005  334.9861
2.50  0.0125  579.1177
2.50  0.0135  591.8188
2.50  0.0020  383.3589
2.50  0.0013  363.9112
2.50  0.0025  394.5865
2.60  0.1200  702.5392
2.60  0.0095  480.7105
2.60  0.0900  871.4136
2.60  0.1400  583.4517
2.60  0.0200  609.7247
2.60  0.1500  530.2079
2.60  0.0300  699.5525
2.60  0.1100  767.4986
2.60  0.0400  768.7841
2.60  0.0500  815.5262
2.60  0.0800  909.9101
2.60  0.0080  453.5951
2.60  0.0030  364.6193
2.60  0.0040  386.1497
2.60  0.0005  303.3547
2.60  0.0125  518.2654
2.60  0.0135  530.1734
2.60  0.0020  346.0089
2.60  0.0013  329.4146
2.60  0.0018  341.0419
2.60  0.0025  355.5262
2.60  0.0344  728.7886
2.60  0.0247  651.1657
2.70  0.0140  481.0306
2.70  0.0200  548.1876
2.70  0.0400  689.1215
2.70  0.0500  731.3765
2.70  0.0600  773.3954
2.70  0.0700  795.7157
2.70  0.0800  813.1210
2.70  0.0900  777.3062
2.70  0.1100  683.9413
2.70  0.1200  625.8916
2.70  0.1300  571.0397
2.70  0.1400  520.0835
2.70  0.1500  472.1497
2.70  0.0095  430.7162
2.70  0.0050  361.2810
2.70  0.0060  376.0551
2.70  0.0040  347.3848
2.70  0.0005  276.1163
2.70  0.0135  475.6426
2.70  0.0247  584.3343
2.70  0.0018  309.5669
2.70  0.0025  321.9156
2.70  0.0036  340.0059
2.70  0.0344  654.7391
2.70  0.0001  4212.5410
2.80  0.1200  559.5174
2.80  0.1300  510.1775
2.80  0.1400  464.6234
2.80  0.1500  422.2912
2.80  0.0800  729.5226
2.80  0.1000  667.0273
2.80  0.0600  694.2872
2.80  0.0700  713.9251
2.80  0.0300  565.1336
2.80  0.0400  620.3013
2.80  0.0095  387.1163
2.80  0.0080  366.3020
2.80  0.0030  300.1354
2.80  0.0050  326.1371
2.80  0.0001  218.9116
2.80  0.0010  265.8680
2.80  0.0005  252.4363
2.80  0.0125  418.3424
2.80  0.0135  428.1131
2.80  0.0216  503.7607
2.80  0.0247  525.6759
2.80  0.0344  588.8272
2.80  0.0013  271.9386
2.80  0.0036  308.5548
2.90  0.1400  416.8263
2.90  0.1500  379.0136
2.90  0.0080  330.8081
2.90  0.0100  356.2310
2.90  0.0400  558.9648
2.90  0.0500  592.0264
2.90  0.0600  624.6159
2.90  0.0900  625.5413
2.90  0.1000  597.6521
2.90  0.1100  548.2723
2.90  0.1200  501.5984
2.90  0.1300  457.8109
2.90  0.0030  274.1058
2.90  0.0050  296.3450
2.90  0.0010  243.5490
2.90  0.0001  218.9116
2.90  0.0135  386.1779
2.90  0.0125  377.3557
2.90  0.0020  260.9638
2.90  0.0247  474.4484
2.90  0.0013  248.9341
2.90  0.0018  257.5058
2.90  0.0025  267.5862
2.90  0.0036  281.7581
2.90  0.0344  530.9572
#mass   Z   median_TP_age (Myr)
3.00  0.0500  533.7957
3.00  0.1500  341.1535
3.00  0.0080  300.0796
3.00  0.0095  317.0351
3.00  0.0100  322.5485
3.00  0.0300  460.0125
3.00  0.0400  504.6544
3.00  0.0600  563.5333
3.00  0.0700  578.1183
3.00  0.0900  562.0296
3.00  0.1100  493.1644
3.00  0.1200  451.3133
3.00  0.1400  375.3576
3.00  0.0040  262.5437
3.00  0.0050  270.6434
3.00  0.0060  14764.0653
3.00  0.0001  202.1408
3.00  0.0125  341.4240
3.00  0.0135  349.4820
3.00  0.0020  239.8277
3.00  0.0036  258.0806
3.00  0.0344  479.2758
3.00  0.0216  410.5626
3.00  0.0013  228.8849
3.00  0.0018  236.5450
3.00  0.0025  246.4844
3.10  0.0080  273.5329
3.10  0.0500  483.4996
3.10  0.0800  532.9930
3.10  0.1000  484.6843
3.10  0.1100  444.8262
3.10  0.1200  242.7550
3.10  0.1300  371.7424
3.10  0.1400  338.9838
3.10  0.0030  231.6804
3.10  0.0050  248.5633
3.10  0.0070  264.2924
3.10  0.0001  187.4544
3.10  0.0020  220.6110
3.10  0.0344  434.3663
3.10  0.0247  388.6599
3.10  0.0013  211.0899
3.20  0.0080  250.3838
3.20  0.0100  267.6839
3.20  0.0140  292.4245
3.20  0.0400  414.7844
3.20  0.0500  438.2486
3.20  0.0600  460.8004
3.20  0.0700  473.1269
3.20  0.0900  459.1153
3.20  0.1200  369.0300
3.20  0.1400  307.6800
3.20  0.1500  279.3550
3.20  0.0030  213.4854
3.20  0.0040  222.4851
3.20  0.0050  228.9121
3.20  0.0060  14764.0653
3.20  0.0070  242.7550
3.20  0.1100  402.8154
3.20  0.0005  183.1868
3.20  0.0125  283.0497
3.20  0.0216  339.0019
3.20  0.0013  195.3627
3.20  0.0025  208.8280
3.20  0.0300  378.9343
3.30  0.1400  279.2146
3.30  0.0100  245.5606
3.30  0.0140  267.4078
3.30  0.0200  302.3239
3.30  0.0500  398.6349
3.30  0.0700  429.8067
3.30  0.0800  438.1239
3.30  0.0900  417.0594
3.30  0.1100  70.6932
3.30  0.1200  334.9042
3.30  0.1500  254.1585
3.30  0.0030  197.8386
3.30  0.0040  205.9521
3.30  0.0050  211.4975
3.30  0.0010  177.8869
3.30  0.0020  189.0513
3.30  0.0125  259.1999
3.30  0.0135  242.9704
3.30  0.0216  309.0334
3.30  0.0247  322.4146
3.30  0.0036  202.7490
3.30  0.0344  359.0261
3.30  0.0060  2711.3150
3.40  0.1000  362.2855
3.40  0.1100  333.0044
3.40  0.0600  382.3334
3.40  0.1400  254.7777
3.40  0.0095  222.3411
3.40  0.0100  225.6584
3.40  0.0140  245.6293
3.40  0.0200  276.7133
3.40  0.0300  315.3588
3.40  0.0400  344.6536
3.40  0.0700  391.4229
3.40  0.0800  398.6164
3.40  0.0030  183.6602
3.40  0.0040  191.1080
3.40  0.0050  196.1453
3.40  0.0060  14764.0653
